state,fips,median_age,median_income,foreign_born,population_2022,poverty_perc,white_poverty_perc,blkAA_poverty_perc,AIAN_poverty_perc,asian_poverty_perc,PI_poverty_perc,other_poverty_perc,twomore_poverty_perc,hisp_poverty_perc,whitenon_poverty_perc,total_population,white_total,blkAA_total,AIAN_total,asian_total,PI_total,other_total,twomore_total,whitenon_edu_perc,white_edu_perc,blkAA_edu_perc,AIAN_edu_perc,asian_edu_perc,PI_edu_perc,other_edu_perc,twomore_edu_perc,hisp_edu_perc,no_highschool,employment_perc,unemployment_perc,leg_ctrl,gov_party,state_ctrl,bills_introduced,bills_enacted,reincarceration,det_sentencing,ag_employment,construct_employment,manu_employment,wtrade_employment,rtrade_employment,trans_employment,info_employment,finance_employment,prof_employment,edu_employment,arts_employment,other_employment,public_employment
Alabama,1,39.3,32834,191234,5074296,11.3,7.5,21.3,17.1,9.4,26.5,24.9,14.4,21.7,7.3,5024279,3220452,1296162,33625,76660,2984,137443,256953,30.1,30,19.2,18,53.7,13.4,13.6,25.1,18.3,12.3,54.6,5.2,0,0,0,"1,309",633,29,0,1.4,6.9,14.2,2.3,11.7,5.7,1.3,5.6,9.9,22.5,8.3,4.8,5.5
Alaska,2,35.3,56559,60784,733583,7.2,4.6,8.5,19.9,6.8,17.1,7.3,8.2,8,4.6,733391,435392,21898,111575,44032,12698,18272,89524,37.3,36.9,23.2,7.5,26.5,6.1,20.3,28.1,23.7,6.5,59.1,6.4,0,0,0,409,38,62,0,4.9,6.8,4.1,1.5,10.2,9.2,1.7,4.2,8.7,23.9,9,4.6,11.3
Arizona,4,38.4,46450,962688,7359197,9.2,7.2,13.1,25.5,7.3,7.4,15.2,12.5,15.1,5.5,7151502,4322337,339150,319512,257430,16397,899870,996806,38.2,34.9,28.6,12,58.7,22.5,13.6,22.7,15.9,11.3,56.9,5.4,0,1,0.5,"1,648",221,31,1,1.3,7.5,7.4,2.2,11.9,5.7,1.7,8.8,12.5,21.9,9.9,4.5,4.8
Arkansas,5,38.4,31985,156073,3045637,11.6,9,25.1,16.1,7.6,24.3,18.8,13.6,17.9,8.7,3011524,2114512,453783,27177,51839,14533,136105,213575,26.6,26.2,18.1,15.8,50.2,7.2,10.9,21,12.5,11.8,54.9,5.1,0,0,0,"1,607",885,44,0,2.6,7.1,13.3,2.3,13.1,6.1,1.2,5,8,24.1,7.9,4.9,4.4
California,6,37.3,58774,10428025,39029342,8.5,6.6,14.2,12.6,6.8,9.4,13.9,10.1,12.8,4.8,39538223,16296122,2237044,631016,6085947,157263,8370596,5760235,46.1,39.9,28.5,16.6,55.1,21.2,12.1,26.3,15.5,15.6,59.3,6.4,1,1,1,"2,820",307,20,1,2.1,6.7,8.9,2.6,10.3,5.9,2.9,5.8,14.1,21.4,9.7,4.9,4.7
Colorado,8,37.3,55809,557528,5839926,6,4.7,14.5,16.3,6.2,5.4,12.3,9.5,11.7,3.9,5773714,4082927,234828,74129,199827,10287,464046,707670,50.2,47.2,29.5,20.4,53.7,27.9,16.5,31,19.7,7.5,64.6,4.5,1,1,1,681,531,31,0,2,8,7,2.3,10.5,5.1,2.7,7.2,14.9,21.5,9.5,4.8,4.5
Connecticut,9,40.9,51102,568311,3626205,6.8,4.4,13.6,19.5,7,19.2,20.2,11.4,17.9,3.4,3605944,2395128,388675,16051,172455,1598,299133,332904,46.5,44.9,25.4,20.3,65.9,20.1,16,32,19.4,8.7,61.9,5.9,1,1,1,"3,615",398,43,0,0.4,6.1,10.6,2.2,10.7,4.5,2,9,11.9,26.5,8.1,4.4,3.6
Delaware,10,41.4,47453,101110,1018396,7.5,4.7,15.3,14.8,6.9,0,13.6,12.7,14.2,4.3,989948,597763,218899,5148,42699,412,48509,76518,37,36.3,25.3,17.3,65.9,44.2,15.5,31.6,19.9,8.8,58.5,5.4,1,1,1,689,316,52,1,1.1,7.1,7.5,1.8,12,6,1.1,9.4,11.2,24.6,8.3,4.3,5.7
Florida,12,42.4,42675,4817273,22244823,9.1,7.1,16.3,13.9,8.2,4.9,15.1,10.6,12.4,6,21538187,12422961,3246381,94795,643682,14014,1564282,3552072,35.9,34.6,21.8,20.8,51.6,23.4,22.8,31,27.4,10.7,56,5,0,0,0,"1,798",338,21,1,0.8,8.2,5.2,2.5,12.2,6.1,1.6,7.9,13.7,21,11.3,5.1,4.3
Georgia,13,37.2,43760,1168022,10912876,10,6.8,15.8,18.3,7,21.8,18.4,12.1,15.8,6.4,10711908,5555483,3320513,50618,479028,7299,555059,743908,37.2,36.5,26.6,14.7,58.3,18,16.3,32.2,20.7,11.3,59.6,5.2,0,0,0,"2,361","1,372",24,0,1,6.8,10.4,2.6,11.2,7.2,2.2,6.3,13.2,20.8,8.8,4.6,4.7
