state,BSDegreeOrHigher,AssociatesDegree,BachelorsDegree,GraduateOrProfessionalDegree,HSGradOrEquivalent,LessThanHighSchool
Alabama,26.2,8.7,16.3,9.9,30.3,13.1
Alaska,30,8.7,18.7,11.3,28.4,6.9
Arizona,30.3,8.9,18.8,11.5,23.8,12.1
Arkansas,23.8,7.5,15.2,8.6,33.9,12.8
California,34.7,8,21.6,13.1,20.4,16.1
Colorado,41.6,8.5,26,15.6,21.2,7.9
Connecticut,40,7.8,22.2,17.9,26.3,9.1
Delaware,32.7,8,19,13.7,31,9.4
Florida,30.5,10,19.3,11.3,28.2,11.5
Georgia,32.2,8,19.7,12.5,27.5,12.2
Hawaii,33.6,10.9,21.9,11.6,27.3,7.6
Idaho,28.7,9.8,19.3,9.4,26.7,8.7
Illinois,35.5,8.1,21.6,13.9,25.6,10.3
Indiana,27.2,8.9,17.3,9.9,33.2,10.7
Iowa,29.3,11.8,19.7,9.6,30.8,7.5
Kansas,33.9,8.8,21.5,12.5,25.8,8.7
Kentucky,25,8.6,14.8,10.3,32.6,12.8
Louisiana,24.9,6.5,15.9,8.9,33.3,14.2
Maine,32.5,10.2,20.3,12.2,31.3,6.8
Maryland,40.9,6.8,21.8,19.1,24.2,9.5
Massachusetts,44.5,7.7,24.5,20,23.5,8.9
Michigan,30,9.6,18.3,11.7,28.5,8.7
Minnesota,36.8,11.6,24.2,12.6,24.2,6.7
Mississippi,22.8,10.2,13.8,8.9,30.1,14.7
Missouri,29.9,8.1,18.4,11.5,30.5,9.4
Montana,33.1,9.4,22.2,10.9,28.1,6
Nebraska,32.5,10.7,21.4,11.1,25.7,8.4
Nevada,25.5,8.4,16.6,8.8,27.9,13
New Hampshire,37.6,10.4,23,14.5,27.3,6.7
New Jersey,40.7,6.6,24.8,15.9,26.7,9.8
New Mexico,28.1,8.8,15.8,12.3,26.2,13.5
New York,37.5,8.9,20.9,16.5,25.5,12.8
North Carolina,32,9.9,20.4,11.6,25.5,11.5
North Dakota,30.7,14.1,22.1,8.6,26.1,6.9
Ohio,28.9,8.8,17.9,10.9,32.8,9.2
Oklahoma,26.1,8.2,17.2,9,31.1,11.5
Oregon,34.4,9,21.3,13.1,22.7,8.8
Pennsylvania,32.3,8.6,19.5,12.8,34.2,9
Rhode Island,35,8.2,21,14,28,10.8
South Carolina,29,9.9,18.2,10.8,28.9,11.7
South Dakota,29.3,11.6,20.1,9.2,30.2,7.8
Tennessee,28.2,7.5,17.8,10.4,31.8,11.8
Texas,30.7,7.4,19.9,10.8,24.7,15.6
Utah,34.7,10,23,11.7,22.8,7
Vermont,39.7,8.8,23.5,16.1,28.3,6.5
Virginia,39.5,7.9,22.4,17.2,23.9,9.7
Washington,36.7,10.1,22.8,13.9,21.8,8.3
West Virginia,21.3,7.6,12.7,8.6,40,12.4
Wisconsin,30.8,11,20.3,10.5,30.3,7.4
Wyoming,28.2,11.4,17.7,10.5,28.6,6.4
