"foreign_perc","poverty_perc","no_highschool","unemployment_perc","state_ctrl","bills_enacted","reincarceration","state"
0.0376868042384599,11.3,12.3,5.2,"0",633,29,"Alabama"
0.0828590629826482,7.2,6.5,6.4,"0",38,62,"Alaska"
0.130814272263672,9.2,11.3,5.4,"0.5",221,31,"Arizona"
0.0512447806485146,11.6,11.8,5.1,"0",885,44,"Arkansas"
0.267184237951027,8.5,15.6,6.4,"1",307,20,"California"
0.0954683329891509,6,7.5,4.5,"1",531,31,"Colorado"
0.156723351272198,6.8,8.7,5.9,"1",398,43,"Connecticut"
0.0992835792756452,7.5,8.8,5.4,"1",316,52,"Delaware"
0.21655703891193,9.1,10.7,5,"0",338,21,"Florida"
0.107031546954258,10,11.3,5.2,"0",1372,24,"Georgia"
0.171284325189071,6.5,7.3,5.1,"1",592,50,"Hawaii"
0.0598122878775142,7.3,8.6,3.8,"0",339,37,"Idaho"
0.143863884625313,8.2,9.9,6,"1",902,37,"Illinois"
0.0606649722517235,8.5,10,4.5,"0",435,30,"Indiana"
0.0595925595770933,7,7,3.8,"0",201,37,"Iowa"
0.07067497403946,7.6,8.2,4,"0.5",161,27,"Kansas"
0.0400901090572235,11.7,11.8,5.1,"0.5",443,29,"Kentucky"
0.0420228480378263,13.9,13.3,6.6,"0",1125,30,"Louisiana"
0.0342284204599593,6.4,5.9,4,"1",557,21,"Maine"
0.167034353881641,6.2,9,5.1,"1",713,32,"Maryland"
0.180446246290805,6.5,8.8,5.3,"1",21,29,"Massachusetts"
0.0692839171315306,8.8,8.2,6,"1",303,22,"Michigan"
0.0872502966495394,5.5,6.3,4,"0.5",94,19,"Minnesota"
0.0222607929029947,14.4,13.8,6.4,"0",817,35,"Mississippi"
0.0408832563904216,8.5,8.7,4.3,"0",53,30,"Missouri"
0.0208092320818049,7.3,5.5,3.9,"0",807,37,"Montana"
0.072446432101256,6.7,8.1,3.1,"0",165,30,"Nebraska"
0.189112686498591,9,12.9,7,"0.5",494,24,"Nevada"
0.0621768008308302,4.4,6.2,3.6,"0",129,48,"New Hampshire"
0.23549480500284,6.9,9.4,6.2,"1",56,29,"New Jersey"
0.0931571007843494,13.7,12.9,6.2,"1",351,49,"New Mexico"
0.226646225360572,9.7,12.4,6.2,"1",2428,32,"New York"
0.0856892526039649,9.5,10.6,5.1,"0.5",128,36,"North Carolina"
0.0459717604242994,6.1,6.5,2.9,"0",628,36,"North Dakota"
0.0498413668935625,9.3,8.6,5,"0",423,33,"Ohio"
0.0603895716204786,11,11.1,4.9,"0",459,18,"Oklahoma"
0.0992758017016903,7.3,8.4,5.5,"1",499,13,"Oregon"
0.0754064443993559,8,8.3,5.4,"0.5",86,38,"Pennsylvania"
0.144088050659484,7.2,10.6,5.9,"1",918,45,"Rhode Island"
0.0517497521122985,10.2,10.7,5.2,"0",800,18,"South Carolina"
0.0386613235087226,7.5,7.3,3.1,"0",209,40,"South Dakota"
0.0556565214067853,10,10.7,5,"0",2547,40,"Tennessee"
0.172134521264572,10.7,14.8,5.2,"0",4410,15,"Texas"
0.0864585305253194,5.7,6.8,3.4,"0",578,21,"Utah"
0.0476197099514113,5.9,5.8,3.8,"0.5",287,42,"Vermont"
0.127254316431893,6.8,8.9,4.4,"0.5",1108,21,"Virginia"
0.152636098654651,6.3,7.9,5,"1",494,22,"Washington"
0.0183645831690285,11.9,11.6,6.1,"0",426,29,"West Virginia"
0.0500193549843285,6.6,6.9,3.4,"0.5",67,32,"Wisconsin"
0.0301489040749526,6.8,6.1,3.8,"0",104,27,"Wyoming"
