state,avg_retail,avg_food_service,avg_construction,avg_home_health,avg_manufacturing,avg_hospitality
Alabama,31.25,12.5,25,20,50,25
Alaska,130,55,37.5,40,40,40
Arizona,25,12.5,25,13,25,12.5
Arkansas,8.333333,19,25,60,24.444444,30
California,22.222222,33.333333,30,9.375,30,33.333333
Colorado,25,25,25,12,25,16.666667
Connecticut,25,25,25,8,25,31.25
Delaware,130,36.666667,55,13.333333,50,20
Florida,10,10,16.666667,4.2,25,12.5
Georgia,34.482759,5.405405,14.285714,2,15,5.555556
Hawaii,37.5,12.5,35.714286,20,40,12.5
Idaho,37.5,12.5,50,30,35.714286,25
Illinois,76.923077,21.212121,15,5,14.285714,18.75
Indiana,56.25,3.409091,18.75,9,20,2.5
Iowa,14.285714,2.777778,25,6.666667,12.5,6.25
Kansas,33.333333,12.5,25,25,25,23
Kentucky,28.571429,25,50,15,25,25
Louisiana,25,5.357143,16.666667,23.333333,12.5,7.142857
Maine,25,8.333333,50,65,50,15
Maryland,61.538462,5.357143,12.5,6,12.5,6.25
Massachusetts,66.666667,4.6875,12.5,3.333333,18.75,6.25
Michigan,45.454545,3.571429,25,2.75,14.285714,5.769231
Minnesota,33.333333,5.769231,16.666667,7,18.75,4.166667
Mississippi,25,25,50,20,62.5,34
Missouri,12.5,18.75,50,13,25,12.5
Montana,83.333333,50,50,20,95,50
Nebraska,62.5,25,25,25,14.444444,18.571429
Nevada,47.5,25,25,15,32,17
New Hampshire,31.25,12.5,35.714286,70,25,21.428571
New Jersey,55.555556,4.411765,8.333333,2.5,8.333333,6.25
New Mexico,20,5,25,2,18.333333,5
New York,66.666667,23.076923,16.666667,3.125,20,28.571429
North Carolina,68.965517,8.333333,11.111111,7.333333,16.666667,4.411765
North Dakota,85,36.666667,27.777778,13.333333,43.333333,33.333333
Ohio,12.5,10,20,8,12.5,15
Oklahoma,36,12.5,25,3.333333,25,24
Oregon,25,12.5,50,12,25,25
Pennsylvania,15,22.222222,16.666667,9.375,16.666667,15
Rhode Island,160,22,50,30,53.333333,3.333333
South Carolina,25,12.5,16.666667,23.333333,12.5,12.5
South Dakota,65,24.444444,27.777778,20,55,37.5
Tennessee,12.5,15,25,12,25,16.666667
Texas,14.285714,11.764706,14.285714,3.571429,12.5,10
Utah,34,17,75,5,25,13.333333
Vermont,66.666667,50,83.333333,10,40,33.333333
Virginia,25,16.666667,16.666667,12.5,12.5,14.75
Washington,25,16.666667,33.333333,7,50,25
West Virginia,55,25,62.5,0,53.333333,45
Wisconsin,25,25,25,18.888889,16.666667,25
Wyoming,80,46.666667,62.5,20,80,45
