state,totalJobs,fairChance,propFair,totalJobs2,fairChance2,propFair2,avgFair
Alabama,24000,300,12.5,24000,500,20.83,16.665
Alaska,6000,100,16.67,6000,100,16.67,16.67
Arizona,42000,700,16.67,41000,900,21.95,19.31
Arkansas,13000,100,7.69,13000,200,15.38,11.535
California,154000,7000,45.45,151000,8000,52.98,49.215
Colorado,51000,700,13.73,43000,900,20.93,17.33
Connecticut,27000,300,11.11,22000,200,9.09,10.1
Delaware,8000,75,9.38,7000,75,10.71,10.045
Florida,138000,1000,7.25,115000,2000,17.39,12.32
Georgia,72000,800,11.11,59000,700,11.86,11.485
Hawaii,10000,100,10,10000,100,10,10
Idaho,12000,200,16.67,11000,300,27.27,21.97
Illinois,68000,1000,14.71,67000,1000,14.93,14.82
Indiana,40000,400,10,40000,400,10,10
Iowa,21000,200,9.52,20000,200,10,9.76
Kansas,21000,400,19.05,21000,400,19.05,19.05
Kentucky,24000,500,20.83,23000,400,17.39,19.11
Louisiana,22000,400,18.18,21000,200,9.52,13.85
Maine,11000,200,18.18,11000,200,18.18,18.18
Maryland,40000,600,15,40000,300,7.5,11.25
Massachusetts,55000,600,10.91,55000,800,14.55,12.73
Michigan,54000,1000,18.52,54000,1000,18.52,18.52
Minnesota,38000,400,10.53,38000,600,15.79,13.16
Mississippi,38000,75,1.97,11000,100,9.09,5.53
Missouri,41000,500,12.2,40000,700,17.5,14.85
Montana,9000,200,22.22,9000,300,33.33,27.775
Nebraska,15000,100,6.67,15000,200,13.33,10
Nevada,18000,200,11.11,20000,400,20,15.555
New Hampshire,13000,100,7.69,13000,200,15.38,11.535
New Jersey,46000,600,13.04,47000,800,17.02,15.03
New Mexico,13000,200,15.38,13000,200,15.38,15.38
New York,89000,2000,22.47,88000,2000,22.73,22.6
North Carolina,62000,1000,16.13,61000,1000,16.39,16.26
North Dakota,7000,100,14.29,7000,100,14.29,14.29
Ohio,70000,1000,14.29,69000,1000,14.49,14.39
Oklahoma,21000,200,9.52,20000,400,20,14.76
Oregon,28000,600,21.43,27000,700,25.93,23.68
Pennsylvania,77000,1000,12.99,74000,1000,13.51,13.25
Rhode Island,8000,75,9.38,7000,100,14.29,11.835
South Carolina,33000,300,9.09,31000,500,16.13,12.61
South Dakota,7000,75,10.71,7000,75,10.71,10.71
Tennessee,41000,400,9.76,42000,400,9.52,9.64
Texas,137000,2000,14.6,143000,2000,13.99,14.295
Utah,19000,200,10.53,19000,200,10.53,10.53
Vermont,7000,100,14.29,7000,100,14.29,14.29
Virginia,72000,900,12.5,61000,900,14.75,13.625
Washington,49000,1000,20.41,41000,1000,24.39,22.4
West Virginia,10000,100,10,8000,100,12.5,11.25
Wisconsin,48000,800,16.67,40000,800,20,18.335
Wyoming,5000,75,15,4000,75,18.75,16.875
