state,rank,employer,employees,pledge
Alabama,1,Redstone Arsenal,40000,No
Alabama,2,University of Alabama at Birmingham,23000,No
Alabama,3,Honda Manufacturing of Alabama,15000,No
Alaska,1,Providence Health & Services,5000,No
Alaska,2,University of Alaska,10000,No
Alaska,3,Walmart,12000,Yes
Arizona,1,Walmart,34000,Yes
Arizona,2,Banner Health,29000,No
Arizona,3,Wells Fargo,22000,No
Arkansas,1,Walmart,53000,Yes
Arkansas,2,Tyson Foods,24000,Yes
Arkansas,3,University of Arkansas for Medical Sciences,11000,No
California,1,University of California System,198300,Yes
California,2,State of California,144000,No
California,3,Federal Government,144000,No
Colorado,1,University of Colorado System,37000,No
Colorado,2,Centura Health,20000,No
Colorado,3,HealthONE,12000,No
Connecticut,1,Yale New Haven Health System,26700,No
Connecticut,2,Yale University,14000,No
Connecticut,3,General Dynamics Electric Boat,12400,No
Delaware,1,ChristianaCare,11800,No
Delaware,2,DuPont,6800,No
Delaware,3,University of Delaware,4500,No
Florida,1,Walt Disney World Resort,75000,No
Florida,2,Miami-Dade County Public Schools,36000,No
Florida,3,Publix Super Markets,35000,No
Georgia,1,Delta Air Lines,33000,No
Georgia,2,Emory University & Emory Healthcare,31000,No
Georgia,3,The Home Depot,30000,No
Hawaii,1,State of Hawaii,54000,No
Hawaii,2,University of Hawaii System,10000,No
Hawaii,3,Hawaii Health Systems Corporation,7400,No
Idaho,1,St. Luke's Health System,14000,No
Idaho,2,Micron Technology,8400,No
Idaho,3,Albertsons,6000,No
Illinois,1,Walmart,53000,Yes
Illinois,2,University of Illinois System,30000,No
Illinois,3,Advocate Health Care,29000,No
Indiana,1,Indiana University Health,36000,No
Indiana,2,Purdue University,18000,No
Indiana,3,Walmart,17000,Yes
Iowa,1,Hy-Vee,48000,No
Iowa,2,University of Iowa,24000,No
Iowa,3,University of Iowa Hospitals & Clinics,16500,No
Kansas,1,Walmart,22000,Yes
Kansas,2,Spirit AeroSystems,12000,No
Kansas,3,University of Kansas,10000,No
Kentucky,1,Walmart,31000,Yes
Kentucky,2,Catholic Health Initiatives,27000,No
Kentucky,3,University of Kentucky,24000,No
Louisiana,1,Walmart,36992,Yes
Louisiana,2,Ochsner Health System,36000,No
Louisiana,3,Acadia Healthcare,22500,No
Maine,1,Maine Medical Center,9600,No
Maine,2,Hannaford Bros. Co.,8500,No
Maine,3,Walmart,7700,Yes
Maryland,1,Giant Food,27000,No
Maryland,2,Johns Hopkins Medicine,22000,Yes
Maryland,3,MedStar Health,22000,No
Massachusetts,1,Mass General Brigham,70000,No
Massachusetts,2,University of Massachusetts,23000,No
Massachusetts,3,Boston University,22630,Yes
Michigan,1,General Motors,52000,No
Michigan,2,University of Michigan,48000,No
Michigan,3,Ford Motor Company,46000,No
Minnesota,1,Mayo Clinic,48000,No
Minnesota,2,Allina Health System,40000,No
Minnesota,3,Fairview Health Services,31000,No
Mississippi,1,Walmart,25200,Yes
Mississippi,2,Sanderson Farms,17000,No
Mississippi,3,University of Mississippi Medical Center,10000,No
Missouri,1,Walmart,43200,Yes
Missouri,2,BJC HealthCare,29500,No
Missouri,3,Washington University in St. Louis,19000,No
Montana,1,Talen Montana,12000,No
Montana,2,Fringe Benefit Resources,12000,No
Montana,3,Walmart,5000,Yes
Nebraska,1,University of Nebraska,16000,No
