state,totalJobs,fairChance,propFair,totalJobs2,fairChance2,propFair2,avgFair,Average_Index,Value_1,Value_2,Value_3,Value_4,Value_5,Consequence Count,Average Law Index,Negative_Index
Alabama,24000,300,12.5,24000,500,20.83,16.665,0.2009766248,0.004883124155,0.5,0.5,0,0,550,0.7655757576,421.0666667
Alaska,6000,100,16.67,6000,100,16.67,16.67,0.06666666666,0,0,0.3333333333,0,0,376,0.7537234043,283.4
Arizona,42000,700,16.67,41000,900,21.95,19.31,0.6726326076,0.3065788204,0.75,0.6,1,0.75,587,0.7242759796,425.15
Arkansas,13000,100,7.69,13000,200,15.38,11.535,0.3010208172,0.07653265727,0.5,0.5,0,0.4285714286,587,0.7699034639,451.9333333
California,154000,7000,45.45,151000,8000,52.98,49.215,0.8336393367,0.8663794516,0.75,0.875,1,0.6785714286,1118,0.7500596303,838.5666667
Colorado,51000,700,13.73,43000,900,20.93,17.33,0.7224602535,0.6003965055,0.5,0.8333333333,1,0.6785714286,467,0.6790506781,317.1166667
Connecticut,27000,300,11.11,22000,200,9.09,10.1,0.7397916338,0.399417918,1,0.8125,1,0.5,406,0.6844417077,277.8833333
Delaware,8000,75,9.38,7000,75,10.71,10.045,0.3188110352,0.2964361285,0,0.5833333333,0,0.7142857143,389,0.7308054841,284.2833333
Florida,138000,1000,7.25,115000,2000,17.39,12.32,0.3930821011,0.1683297191,0.5,0.08333333333,1,0.2142857143,373,0.7297587131,272.2
Georgia,72000,800,11.11,59000,700,11.86,11.485,0.4837898672,0.1306397414,0.5,0.5,1,0.2857142857,778,0.7559554413,588.1333333
Hawaii,10000,100,10,10000,100,10,10,0.3634285714,0.71,0.5,0.25,0,0.3571428571,582,0.722766323,420.65
Idaho,12000,200,16.67,11000,300,27.27,21.97,0.15,0,0,0.5,0,0.25,250,0.7568666667,189.2166667
Illinois,68000,1000,14.71,67000,1000,14.93,14.82,0.6520556184,0.603135235,0.5,0.55,1,0.6071428571,331,0.7249244713,239.95
Indiana,40000,400,10,40000,400,10,10,0.4690871648,0.07162630043,0,0.6666666667,1,0.6071428571,872,0.7470565749,651.4333333
Iowa,21000,200,9.52,20000,200,10,9.76,0.5051331673,0.04947536029,0.5,0.3333333333,1,0.6428571429,457,0.7545587163,344.8333333
Kansas,21000,400,19.05,21000,400,19.05,19.05,0.3899077857,0.1879437107,0,0.4166666667,1,0.3571428571,414,0.6778985507,280.65
Kentucky,24000,500,20.83,23000,400,17.39,19.11,0.2576927451,0.07417801112,0,0.75,0,0.4642857143,435,0.7237164751,314.8166667
Louisiana,22000,400,18.18,21000,200,9.52,13.85,0.6357707533,0.4050442426,0.5,0.6666666667,1,0.6071428571,486,0.7668038409,372.6666667
Maine,11000,200,18.18,11000,200,18.18,18.18,0.1503333333,0.335,0,0.1666666667,0,0.25,920,0.7343478261,675.6
Maryland,40000,600,15,40000,300,7.5,11.25,0.3918533136,0.4333798938,0.5,0.6625,0,0.2857142857,307,0.7263843648,223
Massachusetts,55000,600,10.91,55000,800,14.55,12.73,0.4482780963,0.5271047671,0,0.5,1,0.2142857143,617,0.7287682334,449.65
Michigan,54000,1000,18.52,54000,1000,18.52,18.52,0.6263822006,0.04857766978,0.75,0.8333333333,1,0.5,483,0.7078674948,341.9
Minnesota,38000,400,10.53,38000,600,15.79,13.16,0.6153007757,0.6768690762,0,0.75,1,0.6428571429,558,0.7612007168,424.75
Mississippi,38000,75,1.97,11000,100,9.09,5.53,0.1785714286,0,0,0.5,0,0.3928571429,362,0.7417587477,268.5166667
Missouri,41000,500,12.2,40000,700,17.5,14.85,0.1891179718,0.09958560203,0,0.3,0,0.5357142857,526,0.7524081115,395.7666667
Montana,9000,200,22.22,9000,300,33.33,27.775,0.03809523809,0,0,0.08333333333,0,0.1071428571,460,0.7060869565,324.8
Nebraska,15000,100,6.67,15000,200,13.33,10,0.1598809524,0.0375,0,0.5833333333,0,0.1785714286,290,0.7604597701,220.5333333
Nevada,18000,200,11.11,20000,400,20,15.555,0.2124285714,0.455,0,0.5,0,0.1071428571,388,0.7651202749,296.8666667
New Hampshire,13000,100,7.69,13000,200,15.38,11.535,0.2265476191,0.0375,0,0.6666666667,0,0.4285714286,596,0.7476510067,445.6
New Jersey,46000,600,13.04,47000,800,17.02,15.03,0.4906341179,0.35900231,0.75,0.9375,0,0.4285714286,581,0.7617900172,442.6
New Mexico,13000,200,15.38,13000,200,15.38,15.38,0.6345714286,0.6675,0.5,0.6125,1,0.3928571429,737,0.7375848033,543.6
New York,89000,2000,22.47,88000,2000,22.73,22.6,0.6928802461,0.4745672809,0.75,1,1,0.25,470,0.7417021277,348.6
North Carolina,62000,1000,16.13,61000,1000,16.39,16.26,0.7619901477,0.5243489799,0.75,0.75,1,0.7857142857,769,0.7041612484,541.5
North Dakota,7000,100,14.29,7000,100,14.29,14.29,0.1408333333,0.0375,0,0.4166666667,0,0.25,591,0.6931754089,409.6666667
Ohio,70000,1000,14.29,69000,1000,14.49,14.39,0.7564381922,0.3417147704,0.75,0.8333333333,1,0.8571428571,344,0.7069282946,243.1833333
Oklahoma,21000,200,9.52,20000,400,20,14.76,0.2813095238,0.0375,0,0.5833333333,0,0.7857142857,784,0.7888818027,618.4833333
Oregon,28000,600,21.43,27000,700,25.93,23.68,0.1978903244,0.465642098,0,0.4166666667,0,0.1071428571,752,0.7597739362,571.35
Pennsylvania,77000,1000,12.99,74000,1000,13.51,13.25,0.2774997495,0.1993070678,0,0.5833333333,0,0.7142857143,643,0.6531104199,419.95
Rhode Island,8000,75,9.38,7000,100,14.29,11.835,0.4289047619,0.335,0.5,0.6666666667,0,0.6428571429,544,0.7681066176,417.85
South Carolina,33000,300,9.09,31000,500,16.13,12.61,0.1044694368,0.03425194594,0,0.4166666667,0,0.07142857143,254,0.7910761155,200.9333333
South Dakota,7000,75,10.71,7000,75,10.71,10.71,0.05464285714,0,0,0.2375,0,0.03571428571,324,0.7634259259,247.35
Tennessee,41000,400,9.76,42000,400,9.52,9.64,0.6137089132,0.4018778991,0.5,0.6666666667,1,0.5,454,0.7769089574,352.7166667
Texas,137000,2000,14.6,143000,2000,13.99,14.295,0.5263537095,0.1079590235,0.5,0.4166666667,1,0.6071428571,313,0.7240149095,226.6166667
Utah,19000,200,10.53,19000,200,10.53,10.53,0.4384523809,0.0375,0,0.5833333333,1,0.5714285714,632,0.7224419831,456.5833333
Vermont,7000,100,14.29,7000,100,14.29,14.29,0.5609285714,0.335,0.5,0.6125,1,0.3571428571,1030,0.6963268608,717.2166667
Virginia,72000,900,12.5,61000,900,14.75,13.625,0.2265597906,0.3167275243,0,0.6375,0,0.1785714286,395,0.7077637131,279.5666667
Washington,49000,1000,20.41,41000,1000,24.39,22.4,0.6470367697,0.4803576003,0.5,0.5833333333,1,0.6785714286,201,0.7524875622,151.25
West Virginia,10000,100,10,8000,100,12.5,11.25,0.1595238095,0,0,0.3333333333,0,0.4642857143,173,0.7960500963,137.7166667
Wisconsin,48000,800,16.67,40000,800,20,18.335,0.1174274745,0.05142308702,0,0,0,0.5357142857,539,0.7313852814,394.2166667
Wyoming,5000,75,15,4000,75,18.75,16.875,0.1357142857,0,0,0.5,0,0.1785714286,590,0.6994632768,412.6833333
,,,,,,,,,,,,,,566,0.7507656066,424.9333333
,,,,,,,,,,,,,,359,0.7681058496,275.75
,,,,,,,,,,,,,,294,0.7130952381,209.65
