state,industry,totalIndustry,fairChance,propIndustry
Alabama,retail,700,20,2.86
Alabama,food service,1000,50,5
Alabama,construction,1000,NA,#VALUE!
Alabama,waste management,7,6,85.71
Alabama,home health,300,NA,#VALUE!
Alaska,retail,200,6,3
Alaska,food service,400,25,6.25
Alaska,construction,500,NA,#VALUE!
Alaska,waste management,9,8,88.89
Alaska,home health,75,NA,#VALUE!
Arizona,retail,1000,25,2.5
Arizona,food service,2000,50,2.5
Arizona,construction,3000,NA,#VALUE!
Arizona,waste management,24,0,0
Arizona,home health,600,NA,#VALUE!
Arkansas,retail,600,25,4.17
Arkansas,food service,700,25,3.57
Arkansas,construction,800,NA,#VALUE!
Arkansas,waste management,5,NA,#VALUE!
Arkansas,home health,100,NA,#VALUE!
California,retail,5000,200,4
California,food service,9000,300,3.33
California,construction,9000,NA,#VALUE!
California,waste management,50,1,2
California,home health,9000,NA,#VALUE!
Colorado,retail,2000,50,2.5
Colorado,food service,5000,75,1.5
Colorado,construction,4000,NA,#VALUE!
Colorado,waste management,25,22,88
Colorado,home health,1000,NA,#VALUE!
Connecticut,retail,1000,20,2
Connecticut,food service,2000,50,2.5
Connecticut,construction,1000,NA,#VALUE!
Connecticut,waste management,4,1,25
Connecticut,home health,1000,NA,#VALUE!
Delaware,retail,300,12,4
Delaware,food service,600,13,2.17
Delaware,construction,300,NA,#VALUE!
Delaware,waste management,9,NA,#VALUE!
Delaware,home health,200,NA,#VALUE!
Florida,retail,5000,75,1.5
Florida,food service,8000,100,1.25
Florida,construction,11000,NA,#VALUE!
Florida,waste management,25,NA,#VALUE!
Florida,home health,5000,NA,#VALUE!
Georgia,retail,2000,50,2.5
Georgia,food service,4000,100,2.5
Georgia,construction,4000,NA,#VALUE!
Georgia,waste management,18,1,5.56
Georgia,home health,900,NA,#VALUE!
Hawaii,retail,1000,23,2.3
Hawaii,food service,2000,50,2.5
Hawaii,construction,600,NA,#VALUE!
Hawaii,waste management,9,10,111.11
Hawaii,home health,400,NA,#VALUE!
Idaho,retail,600,25,4.17
Idaho,food service,1000,50,5
Idaho,construction,1000,NA,#VALUE!
Idaho,waste management,12,1,8.33
Idaho,home health,400,NA,#VALUE!
Illinois,retail,3000,50,1.67
Illinois,food service,7000,100,1.43
Illinois,construction,3000,NA,#VALUE!
Illinois,waste management,25,1,4
Illinois,home health,2000,NA,#VALUE!
Indiana,retail,2000,25,1.25
Indiana,food service,4000,50,1.25
Indiana,construction,3000,NA,#VALUE!
Indiana,waste management,50,1,2
Indiana,home health,1000,NA,#VALUE!
Iowa,retail,1000,25,2.5
Iowa,food service,1000,50,5
Iowa,construction,1000,NA,#VALUE!
Iowa,waste management,6,1,16.67
Iowa,home health,500,NA,#VALUE!
Kansas,retail,500,16,3.2
Kansas,food service,1000,50,5
Kansas,construction,1000,NA,#VALUE!
Kansas,waste management,13,18,138.46
Kansas,home health,200,NA,#VALUE!
Kentucky,retail,500,25,5
Kentucky,food service,1000,50,5
Kentucky,construction,1000,NA,#VALUE!
Kentucky,waste management,8,1,12.5
Kentucky,home health,200,NA,#VALUE!
Louisiana,retail,500,8,1.6
