"state","fips","median_age","median_income","poverty_perc","white_poverty_perc","blkAA_poverty_perc","AIAN_poverty_perc","asian_poverty_perc","PI_poverty_perc","other_poverty_perc","twomore_poverty_perc","hisp_poverty_perc","whitenon_poverty_perc","whitenon_edu_perc","white_edu_perc","blkAA_edu_perc","AIAN_edu_perc","asian_edu_perc","PI_edu_perc","other_edu_perc","twomore_edu_perc","hisp_edu_perc","no_highschool","employment_perc","unemployment_perc","leg_ctrl","gov_party","state_ctrl","bills_introduced","bills_enacted","reincarceration","det_sentencing","ag_employment","construct_employment","manu_employment","wtrade_employment","rtrade_employment","trans_employment","info_employment","finance_employment","prof_employment","edu_employment","arts_employment","other_employment","public_employment","white_perc","blkAA_perc","AIAN_perc","asian_perc","PI_perc","other_perc","twomore_perc","foreign_perc","able_to_work"
"Alabama",1,39.3,32834,11.3,7.5,21.3,17.1,9.4,26.5,24.9,14.4,21.7,7.3,30.1,30,19.2,18,53.7,13.4,13.6,25.1,18.3,12.3,54.6,5.2,"0","0","0",1309,633,29,"0",1.4,6.9,14.2,2.3,11.7,5.7,1.3,5.6,9.9,22.5,8.3,4.8,5.5,0.640977939322239,0.257979702162241,0.00669250254613647,0.0152579106375263,0.000593916062384274,0.0273557658720784,0.0511422633973949,0.0376868042384599,1.00995506021859
"Alaska",2,35.3,56559,7.2,4.6,8.5,19.9,6.8,17.1,7.3,8.2,8,4.6,37.3,36.9,23.2,7.5,26.5,6.1,20.3,28.1,23.7,6.5,59.1,6.4,"0","0","0",409,38,62,"0",4.9,6.8,4.1,1.5,10.2,9.2,1.7,4.2,8.7,23.9,9,4.6,11.3,0.593669679611558,0.029858561122239,0.152135763869478,0.0600389151216745,0.0173140930281391,0.0249144044581949,0.122068582788717,0.0828590629826482,1.00026179759501
"Arizona",4,38.4,46450,9.2,7.2,13.1,25.5,7.3,7.4,15.2,12.5,15.1,5.5,38.2,34.9,28.6,12,58.7,22.5,13.6,22.7,15.9,11.3,56.9,5.4,"0","1","0.5",1648,221,31,"1",1.3,7.5,7.4,2.2,11.9,5.7,1.7,8.8,12.5,21.9,9.9,4.5,4.8,0.604395691981908,0.0474236041603568,0.0446776075850919,0.03599663399381,0.00229280506388728,0.125829511059355,0.139384146155591,0.130814272263672,1.02904215086565
"Arkansas",5,38.4,31985,11.6,9,25.1,16.1,7.6,24.3,18.8,13.6,17.9,8.7,26.6,26.2,18.1,15.8,50.2,7.2,10.9,21,12.5,11.8,54.9,5.1,"0","0","0",1607,885,44,"0",2.6,7.1,13.3,2.3,13.1,6.1,1.2,5,8,24.1,7.9,4.9,4.4,0.702140178859607,0.150682179521066,0.0090243345229857,0.0172135437074385,0.00482579584290213,0.0451947253284384,0.0709192422175616,0.0512447806485146,1.01132748734528
"California",6,37.3,58774,8.5,6.6,14.2,12.6,6.8,9.4,13.9,10.1,12.8,4.8,46.1,39.9,28.5,16.6,55.1,21.2,12.1,26.3,15.5,15.6,59.3,6.4,"1","1","1",2820,307,20,"1",2.1,6.7,8.9,2.6,10.3,5.9,2.9,5.8,14.1,21.4,9.7,4.9,4.7,0.412161214225536,0.0565792751990903,0.01595964492385,0.15392565821686,0.00397749286810386,0.211708958189649,0.145687756376912,0.267184237951027,0.987129391222261
"Colorado",8,37.3,55809,6,4.7,14.5,16.3,6.2,5.4,12.3,9.5,11.7,3.9,50.2,47.2,29.5,20.4,53.7,27.9,16.5,31,19.7,7.5,64.6,4.5,"1","1","1",681,531,31,"0",2,8,7,2.3,10.5,5.1,2.7,7.2,14.9,21.5,9.5,4.8,4.5,0.707157819039876,0.0406719141266783,0.012839049526873,0.0346097849668342,0.00178169545633885,0.0803721833121627,0.122567553571237,0.0954683329891509,1.01146783508847
"Connecticut",9,40.9,51102,6.8,4.4,13.6,19.5,7,19.2,20.2,11.4,17.9,3.4,46.5,44.9,25.4,20.3,65.9,20.1,16,32,19.4,8.7,61.9,5.9,"1","1","1",3615,398,43,"0",0.4,6.1,10.6,2.2,10.7,4.5,2,9,11.9,26.5,8.1,4.4,3.6,0.664216637862374,0.107787308954327,0.00445126158365188,0.0478252019443452,0.000443157187133244,0.0829555312007064,0.0923209012674628,0.156723351272198,1.00561877832823
"Delaware",10,41.4,47453,7.5,4.7,15.3,14.8,6.9,0,13.6,12.7,14.2,4.3,37,36.3,25.3,17.3,65.9,44.2,15.5,31.6,19.9,8.8,58.5,5.4,"1","1","1",689,316,52,"1",1.1,7.1,7.5,1.8,12,6,1.1,9.4,11.2,24.6,8.3,4.3,5.7,0.603832726567456,0.221121715484046,0.00520027314566018,0.0431325685793597,0.000416183476303806,0.0490015637184983,0.0772949690286762,0.0992835792756452,1.02873686294634
"Florida",12,42.4,42675,9.1,7.1,16.3,13.9,8.2,4.9,15.1,10.6,12.4,6,35.9,34.6,21.8,20.8,51.6,23.4,22.8,31,27.4,10.7,56,5,"0","0","0",1798,338,21,"1",0.8,8.2,5.2,2.5,12.2,6.1,1.6,7.9,13.7,21,11.3,5.1,4.3,0.576787684125874,0.150726753370653,0.00440125252882241,0.0298856166491636,0.000650658293569463,0.0726283043229219,0.164919730708996,0.21655703891193,1.03280851819143
"Georgia",13,37.2,43760,10,6.8,15.8,18.3,7,21.8,18.4,12.1,15.8,6.4,37.2,36.5,26.6,14.7,58.3,18,16.3,32.2,20.7,11.3,59.6,5.2,"0","0","0",2361,1372,24,"0",1,6.8,10.4,2.6,11.2,7.2,2.2,6.3,13.2,20.8,8.8,4.6,4.7,0.518626840335074,0.309983338169073,0.0047253953263975,0.0447192040857707,0.000681391214338286,0.0518170058966152,0.0694468249727313,0.107031546954258,1.01876117681369
