,,,,,,,,
ID,Primary Locus,Secondary Locus,Variable,Data Type,Allowed Values,Definition,Source,Index Calculation
1.1.1,Policy,Ban The Box,Employer Type,Categorical,Private employers; Public employers; Vendors,Employer type refers to which employer types are covered by the ban the box law.,https://www.nelp.org/insights-research/ban-the-box-fair-chance-hiring-state-and-local-guide/,"The index is calculated by assigning weights of 0.8, 0.15, and 0.05 to private employers, public employers, and vendors, respectively. The final index is the sum of these values, if present"
1.1.2,Policy,Ban The Box,Background Check and Notice Procedures,Categorical,"""Background checks only for some positions"", ""Background check only after conditional offer or finalists selected"", or ""None""; Notice of denial (N); Copy of record (C); Appeal or complaint (A)","This variable represents the different background check and notice procedures covered under Ban the Box policies, including when background checks are performed and the rights to notice, records, and appeals.",https://www.nelp.org/insights-research/ban-the-box-fair-chance-hiring-state-and-local-guide/,"The index is calculated as follows: background check policies are weighted at 0.5 (0.25 for checks for some positions and 0.25 for checks after conditional offer), and notice/record/appeal procedures are weighted at 0.5, with N, C, and A each given 1/6."
1.1.3,Policy,Ban The Box,EEOC Criteria,Categorical,Meets EEOC criteria; Does not meet EEOC criteria,"This variable refers to whether the policy aligns with EEOC (Equal Employment Opportunity Commission) criteria, which include considering the time elapsed since the conviction, the nature of the conviction, and its job relevance.",https://www.nelp.org/insights-research/ban-the-box-fair-chance-hiring-state-and-local-guide/,"The value is calculated as 1 if the policy meets EEOC criteria, and 0 if the policy does not meet these criteria."
1.1.4,Policy,Ban The Box,Ban The Box Index,Numeric,0 to 1,"This variable represents the overall Ban The Box policy index for each state, incorporating both state and additional county or city policies that go beyond state-level policies.",https://www.nelp.org/insights-research/ban-the-box-fair-chance-hiring-state-and-local-guide/,"The Ban The Box state index is calculated as the simple average of 1.1.1, 1.1.2, and 1.1.3. If city/county policies improve on the state policy, the percentage of the population covered by these additional policies is multiplied by the policy improvements and added to the overall state index."
1.2.1,Policy,Licensing and Credentialing,Prequalification,Categorical,Fully implemented; Partially implemented; Not implemented,This variable refers to whether there is a policy that allows workers to receive a determination about whether their criminal history is disqualifying before they invest in the training and education necessary for licensure.,https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.2,Policy,Licensing and Credentialing,Online Information,Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that requires licensing bodies to publish applicant-centric information online about which convictions may be disqualifying, how those convictions are considered, and how any possible disqualifications can be overcome.",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.3,Policy,Licensing and Credentialing,Prohibition of consideration of arrests without conviction,Categorical,Fully implemented; Partially implemented; Not implemented,This variable refers to whether there is a policy that explicitly prohibits licensing bodies from considering arrests that were not followed by a valid conviction.,https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.4,Policy,Licensing and Credentialing,Prohibition of consideration of juvenile court adjudications,Categorical,Fully implemented; Partially implemented; Not implemented,This variable refers to whether there is a policy that explicitly prohibits licensing bodies from considering juvenile court adjudications.,https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.5,Policy,Licensing and Credentialing,"Prohibition of consideration of pardoned, sealed, and expunged convictions",Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that explicitly prohibits licensing bodies from considering pardoned, sealed, or expunged convictions or records.",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.6,Policy,Licensing and Credentialing,Limititation of consideration of lower-level offenses,Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that excludes certain types of offenses, such as misdemeanors and nonviolent lower-level offenses, from being considered in licensing decisions.",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.7,Policy,Licensing and Credentialing,Limitation of consideration of older convictions,Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that limits the consideration of convictions after a specified period of years, typically ranging from 3 to 10 years from the date of conviction or release.",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.8,Policy,Licensing and Credentialing,Prohibition of denial based on undefined terms,Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that prohibits licensing bodies from denying licensure based on vague standards or undefined categories of offenses, such as “lack of good moral character,” “crimes of moral turpitude,” or “any crime.”",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.9,Policy,Licensing and Credentialing,Direct relationship determination,Categorical,Fully implemented; Partially implemented; Not implemented,This variable refers to whether there is a policy that limits criminal history-based barriers to licensure to only those cases where there is a significant and clear relationship between the offense and the specific tasks and duties for which licensure is required.,https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
1.2.10,Policy,Licensing and Credentialing,Individualized consideration of applicants,Categorical,Fully implemented; Partially implemented; Not implemented,"This variable refers to whether there is a policy that requires individualized consideration of applicants, ensuring that no offense is automatically disqualifying. Considerations of individual cases include the nature and seriousness of the crime, age at the time of the crime, time elapsed since the crime, and evidence of rehabilitation.",https://csgjusticecenter.org/projects/fair-chance-licensing/state-by-state-licensing-maps/,"The index is calculated by assigning a value of 1 for fully implemented policies, 0.5 for partially implemented policies, and 0 for policies that are not implemented."
