"Broader felony & misdemeanor relief
(17, D.C.)","Limited felony &
misdemeanor relief
(21)","Misdemeanors & pardoned felonies
(5)","Misdemeanor relief
(3)","No general sealing or set-aside+ (4, federal)"
Arizona^,Connecticut,Alabama,Iowa,Federal
Arkansas,Delaware,Georgia,Montana,Alaska
California,Idaho,Maine**,South Carolina,Florida
Colorado,Kentucky,South Dakota,,Hawaii
D.C.++,Louisiana,Texas,,Wisconsin
Illinois,Maryland,,,
Indiana,Mississippi,,,
Kansas,Missouri,,,
Massachusetts,Nebraska*,,,
Michigan,New Jersey,,,
Minnesota,North Carolina,,,
Nevada,Oklahoma,,,
New Hampshire,Oregon,,,
New Mexico,Pennsylvania**,,,
New York,Rhode Island,,,
North Dakota,Tennessee,,,
Ohio,Utah,,,
Washington,Vermont,,,
,Virginia++,,,
,West Virginia,,,
,Wyoming,,,
