"A range of non-convictions, misdemeanors & certain felonies (9)","A range of non-convictions & misdemeanors (3, D.C.)",Certain minor misdemeanors only (1),"Certain marijuana-related records
(11, D.C.)",A range of non-convictions only+ (8)
California*,D.C.*,South Dakota,D.C.,Alaska
Colorado,Oklahoma,,California*,Indiana
Connecticut*,Utah,,Connecticut*,Kentucky
Delaware,Virginia*,,Illinois,Maryland
Michigan,,,Maryland,Nebraska
Minnesota,,,Minnesota*,New Hampshire
New Jersey*,,,Missouri,North Carolina
New York,,,New Jersey*,South Carolina
Pennsylvania,,,New Mexico,
,,,New York,
,,,Vermont**,
,,,Virginia*,
