"Automatic relief+
(21, D.C.)",Mandatory relief upon request (9),"Discretionary relief (less burdensome/
restrictive)
(9)","Discretionary relief
(more burdensome/ restrictive)*
(8)","N/A
(3, federal)"
Alaska,Hawaii,Alabama,Florida@@,Federal
California,Idaho,Arizona,Iowa,Maine@@
Colorado,Louisiana,Arkansas,Kansas,Montana@@
Connecticut,Mississippi,Georgia,Missouri,Wisconsin@@
Delaware**,New Mexico,Illinois,North Dakota,
D.C.**,Rhode Island,Massachusetts***,South Dakota,
Indiana,Tennessee,Nevada,Washington,
Kentucky,Texas,Ohio,West Virginia@,
Maryland,Wyoming,Oregon,,
Michigan,,,,
Minnesota,,,,
Nebraska,,,,
New Hampshire,,,,
New Jersey,,,,
New York,,,,
North Carolina,,,,
Oklahoma,,,,
Pennsylvania,,,,
South Carolina^,,,,
Utah,,,,
Vermont,,,,
Virginia**,,,,
