State,Category_x,Category_y,Category_x,Category_y
Arizona,"Broader felony & misdemeanor relief
(17, D.C.)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Judicial Certificates (11)
Arkansas,"Broader felony & misdemeanor relief
(17, D.C.)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Not Available
California,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions, misdemeanors & certain felonies (9)","Automatic relief+
(21, D.C.)",Judicial Certificates (11)
California,"Broader felony & misdemeanor relief
(17, D.C.)","Certain marijuana-related records
(11, D.C.)","Automatic relief+
(21, D.C.)",Judicial Certificates (11)
Colorado,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions, misdemeanors & certain felonies (9)","Automatic relief+
(21, D.C.)",Judicial Certificates (11)
D.C,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions & misdemeanors (3, D.C.)","Automatic relief+
(21, D.C.)",Not Available
D.C,"Broader felony & misdemeanor relief
(17, D.C.)","Certain marijuana-related records
(11, D.C.)","Automatic relief+
(21, D.C.)",Not Available
Illinois,"Broader felony & misdemeanor relief
(17, D.C.)","Certain marijuana-related records
(11, D.C.)","Discretionary relief (less burdensome/
restrictive)
(9)",Judicial Certificates (11)
Indiana,"Broader felony & misdemeanor relief
(17, D.C.)",A range of non-convictions only+ (8),"Automatic relief+
(21, D.C.)",Not Available
Kansas,"Broader felony & misdemeanor relief
(17, D.C.)",Not Available,"Discretionary relief
(more burdensome/ restrictive)*
(8)",Not Available
Massachusetts,"Broader felony & misdemeanor relief
(17, D.C.)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Not Available
Michigan,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions, misdemeanors & certain felonies (9)","Automatic relief+
(21, D.C.)",Correctional Certificates (7)
Minnesota,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions, misdemeanors & certain felonies (9)","Automatic relief+
(21, D.C.)",Not Available
Minnesota,"Broader felony & misdemeanor relief
(17, D.C.)","Certain marijuana-related records
(11, D.C.)","Automatic relief+
(21, D.C.)",Not Available
Nevada,"Broader felony & misdemeanor relief
(17, D.C.)",Not Available,"Discretionary relief (less burdensome/
restrictive)
(9)",Not Available
New Hampshire,"Broader felony & misdemeanor relief
(17, D.C.)",A range of non-convictions only+ (8),"Automatic relief+
(21, D.C.)",Not Available
New Mexico,"Broader felony & misdemeanor relief
(17, D.C.)","Certain marijuana-related records
(11, D.C.)",Mandatory relief upon request (9),Judicial Certificates (11)
New York,"Broader felony & misdemeanor relief
(17, D.C.)","A range of non-convictions, misdemeanors & certain felonies (9)","Automatic relief+
(21, D.C.)",Both (3)
