Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Total Index
ALABAMA,,,,,,,,,5028092.0,0.0,0.0,0,0.0,0.0,0.0,0.004207679792162382
Birmingham,,,X,,,,A,ALABAMA,200431.0,0.15,0.0,0,0.1666666,0.10555553333333334,0.004207679792162382,
ARIZONA,,,X,,,,,,7172282.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.23804370433873068
Glendale,,,X,,X,,,ARIZONA,248083.0,0.15,0.25,0,0.0,0.13333333333333333,0.002882427563965462,
Maricopa County,,,X,,X,,,ARIZONA,4430871.0,0.15,0.25,0,0.0,0.13333333333333333,0.05148141832683099,
Phoenix,,,X,,X,X,"N, C, A",ARIZONA,1609456.0,0.15,0.25,1,0.4999998,0.6333332666666666,0.13089965314195212,
Pima County,,,X,,,,,ARIZONA,1042393.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Tempe,,,X,,X,,,ARIZONA,181005.0,0.15,0.25,0,0.0,0.13333333333333333,0.002103061480293162,
Tucson,,,X,X,X,X,A,ARIZONA,8742.0,0.15,0.5,1,0.1666666,0.6055555333333333,0.000677143825688951,
ARKANSAS,,,,,,,,,3018669.0,0.0,0.0,0,0.0,0.0,0.0,0.07623942283728358
Pulaski County,,,X,,X,X,"N, A",ARKANSAS,398322.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.07623942283728358,
CALIFORNIA,X,,X,,X,X,"N, C, A",,39356104.0,0.9500000000000001,0.25,1,0.4999998,0.8999999333333334,0.8999999333333334,0.9075970985132964
Alameda County,,,X,,,,,CALIFORNIA,1663823.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Berkeley,,,X,X,,X,,CALIFORNIA,121385.0,0.15,0.25,1,0.0,0.4666666666666666,0.00025702281574077217,
Carson,,,X,,,,,CALIFORNIA,94475.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Compton,,X,X,,,X,,CALIFORNIA,94822.0,0.2,0.0,1,0.0,0.39999999999999997,4.015556688910738e-05,
East Palo Alto,,,X,,,,,CALIFORNIA,29520.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Los Angeles,X,X,X,,X,X,"N, C, A",CALIFORNIA,117222.0,1.0,0.25,1,0.4999998,0.9166666,0.0005460574091683466,
Oakland,,,X,X,X,X,"N, C, A",CALIFORNIA,437825.0,0.15,0.5,1,0.4999998,0.7166665999999999,0.0027811752101190366,
Pasadena,,,X,,,,,CALIFORNIA,5474.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Richmond,,X,X,X,,,,CALIFORNIA,3285.0,0.2,0.25,0,0.0,0.15,8.346862789060624e-06,
Sacramento,,X,,,,,,CALIFORNIA,25.0,0.05,0.0,0,0.0,0.016666666666666666,1.05870913103255e-08,
San Francisco,X1,X1,X,,X,X,"N, C, A",CALIFORNIA,851036.0,1.0,0.25,1,0.4999998,0.9166666,0.003964396728165302,
