Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index
ALABAMA,,,,,,,,,5028092.0,0.0,0.0,0,0.0,0.0
 Birmingham,,,X,,,,A,ALABAMA,", 200431.0",0.0,0.0,0,0.0,0.0
 ARIZONA,,,X,,,,,,7172282.0,0.15,0.0,0,0.0,0.0375
 Glendale,,,X,,X,,, ARIZONA,", 248083.0",0.0,0.0,0,0.0,0.0
 Maricopa County,,,X,,X,,, ARIZONA,4430871.0,0.0,0.0,0,0.0,0.0
 Phoenix,,,X,,X,X,"N, C, A", ARIZONA,", 1609456.0",0.0,0.0,0,0.0,0.0
 Pima County,,,X,,,,, ARIZONA,1042393.0,0.0,0.0,0,0.0,0.0
 Tempe,,,X,,X,,, ARIZONA,", 181005.0",0.0,0.0,0,0.0,0.0
 Tucson,,,X,X,X,X,A, ARIZONA,", 8742.0, 4642.0, 541033.0, 12795.0, 11171.0",0.0,0.0,0,0.0,0.0
ARKANSAS,,,,,,,,,3018669.0,0.0,0.0,0,0.0,0.0
 Pulaski County,,,X,,X,X,"N, A",ARKANSAS,398322.0,0.0,0.0,0,0.0,0.0
CALIFORNIA  ,X,,X,,X,X,"N, C, A",,39356104.0,0.9500000000000001,0.5,1,1.0,0.8625
 Alameda County,,,X,,,,,CALIFORNIA  ,1663823.0,0.0,0.0,0,0.0,0.0
 Berkeley,,,X,X,,X,,CALIFORNIA  ,", 121385.0",0.0,0.0,0,0.0,0.0
 Carson,,,X,,,,,CALIFORNIA  ,", 94475.0, 22240.0",0.0,0.0,0,0.0,0.0
 Compton,,X,X,,,X,,CALIFORNIA  ,", 94822.0",0.0,0.0,0,0.0,0.0
 East Palo Alto,,,X,,,,,CALIFORNIA  ,", 29520.0",0.0,0.0,0,0.0,0.0
 Los Angeles,X,X,X,,X,X,"N, C, A",CALIFORNIA  ,", 117222.0, 832.0, 13097.0, 3881041.0",0.0,0.0,0,0.0,0.0
 Oakland,,,X,X,X,X,"N, C, A",CALIFORNIA  ,", 437825.0",0.0,0.0,0,0.0,0.0
 Pasadena,,,X,,,,,CALIFORNIA  ,", 5474.0, 137554.0, 26583.0",0.0,0.0,0,0.0,0.0
