state,statute
State,[]
Alabama,['§ 12-16-1 et seq.']
Arizona,"['§ 13-905', 'Crim. Proc., Rule 29.7']"
Arkansas,"['§ 17-1-103', '§ 11-2-123']"
California,"['Penal Code § 4852.01 et seq.', 'Bus. & Prof. Code § 480', ""Gov't Code § 12952"", 'Penal Code § 290.5']"
Colorado,"['§ 18-1.3-107', '§ 16-11-102']"
Connecticut,"['§ 54-130a, § 130e', '§ 54-108f', '§ 31-51i', '§ 46a-80', '§ 52-180b']"
District of Columbia,"['§ 24-1304', '§ 24-1351']"
Florida,['§ 944.801']
Georgia,"['§ 42-2-5.2(c)', '§ 51-1-54']"
Hawaii,['§ 831-5']
Illinois,"['730 ILCS 5/5-5.5-5 et seq.', '20 ILCS 2105/2105-131']"
Iowa,['§ 906.19']
Louisiana,['§ 23:291.1']
Maryland,"['Corr. Servs. § 7-103', 'Corr. Servs. § 7-104']"
Michigan,"['§ 791.234d', '§ 338.42', '§ 600.2956a']"
New Jersey,"['§ 2A:168A-7', '§ 2A:168A-9', '§ 10A:71-8.1 et seq.']"
New Mexico,['§ 31-29-1 et seq.']
New York,"['Correct. Law § 700 et seq.', 'Correct. Law § 753', 'Exec. Law § 296']"
North Carolina,"['§ 15A-173.1 et seq.', '§ 93B-8.1', '§ 15A-173.5']"
Ohio,"['§ 2961.21, § 2961.24', '§ 2953.25']"
Puerto Rico,['§ 1615']
Rhode Island,['§ 13-8.2-1 et seq.']
Tennessee,['§ 40-29-107']
Texas,['Civil Practice & Remedies Code § 142.002']
Vermont,['13 V.S.A. § 8001 et seq.']
Washington,['§ 9.97.010 et seq.']
