State,Rehabilitation Statutes
Connecticut,1
Arizona,0.75
California,0.75
Michigan,0.75
New Jersey,0.75
New York,0.75
North Carolina,0.75
Ohio,0.75
Alabama,0.5
Arkansas,0.5
Colorado,0.5
District of Columbia,0.5
Florida,0.5
Georgia,0.5
Hawaii,0.5
Illinois,0.5
Iowa,0.5
Louisiana,0.5
Maryland,0.5
New Mexico,0.5
Rhode Island,0.5
Tennessee,0.5
Texas,0.5
Vermont,0.5
Washington,0.5
Alaska,0
Delaware,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Maine,0
Massachusetts,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
North Dakota,0
Oklahoma,0
Oregon,0
Pennsylvania,0
South Carolina,0
South Dakota,0
Utah,0
Virginia,0
West Virginia,0
Wisconsin,0
Wyoming,0
