State,"Authority for expunging, sealing, or setting aside convictions",Automatic record clearing,Process for expunging or sealing adult non-conviction records,Judicial and correctional certificates of relief,Simple Average,Weighted Average 
New York,1,1,1,1,1,1
New Jersey,0.75,1,1,1,0.9375,0.8863636364
California,1,1,1,0.5,0.875,0.9545454545
Colorado,1,0.8,1,0.5,0.8333333333,0.9
Michigan,1,0.8,1,0.5,0.8333333333,0.9
Ohio,1,0,0.5,1,0.8333333333,0.6363636364
Connecticut,0.75,1,1,0.5,0.8125,0.8409090909
Kentucky,0.75,0.2,1,0.5,0.75,0.6227272727
Minnesota,1,1,1,0,0.75,0.9090909091
North Carolina,0.75,0.2,1,0.5,0.75,0.6227272727
D.C,1,0.8,1,0,0.7,0.8545454545
Indiana,1,0.2,1,0,0.6666666667,0.6909090909
Louisiana,0.75,0,0.75,0.5,0.6666666667,0.5227272727
New Hampshire,1,0.2,1,0,0.6666666667,0.6909090909
Rhode Island,0.75,0,0.75,0.5,0.6666666667,0.5227272727
Tennessee,0.75,0,0.75,0.5,0.6666666667,0.5227272727
Maryland,0.75,0.4,1,0.5,0.6625,0.6772727273
Virginia,0.75,0.8,1,0,0.6375,0.7409090909
New Mexico,1,0.2,0.75,0.5,0.6125,0.6909090909
Vermont,0.75,0.2,1,0.5,0.6125,0.6227272727
Arizona,1,0.4,0.5,0.5,0.6,0.7
Delaware,0.75,0.8,1,0,0.5833333333,0.7409090909
Nebraska,0.75,0.2,1,0,0.5833333333,0.5772727273
Oklahoma,0.75,0.6,1,0,0.5833333333,0.6863636364
Pennsylvania,0.75,0.8,1,0,0.5833333333,0.7409090909
Utah,0.75,0.6,1,0,0.5833333333,0.6863636364
Washington,1,0,0.25,0.5,0.5833333333,0.5454545455
Illinois,1,0.2,0.5,0.5,0.55,0.6454545455
Alabama,0.5,0,0.5,0.5,0.5,0.3636363636
Arkansas,1,0,0.5,0,0.5,0.5454545455
Georgia,0.5,0,0.5,0.5,0.5,0.3636363636
Idaho,0.75,0,0.75,0,0.5,0.4772727273
Massachusetts,1,0,0.5,0,0.5,0.5454545455
Mississippi,0.75,0,0.75,0,0.5,0.4772727273
Nevada,1,0,0.5,0,0.5,0.5454545455
Wyoming,0.75,0,0.75,0,0.5,0.4772727273
Kansas,1,0,0.25,0,0.4166666667,0.5
North Dakota,1,0,0.25,0,0.4166666667,0.5
Oregon,0.75,0,0.5,0,0.4166666667,0.4318181818
South Carolina,0.25,0.2,1,0,0.4166666667,0.35
Texas,0.5,0,0.75,0,0.4166666667,0.3636363636
Alaska,0,0.2,1,0,0.3333333333,0.2363636364
Iowa,0.25,0,0.25,0.5,0.3333333333,0.2045454545
West Virginia,0.75,0,0.25,0,0.3333333333,0.3863636364
Missouri,0.75,0.2,0.25,0,0.3,0.4409090909
Hawaii,0,0,0.75,0,0.25,0.1363636364
South Dakota,0.5,0.2,0.25,0,0.2375,0.3272727273
Maine,0.5,0,0,0,0.1666666667,0.2272727273
Florida,0,0,0.25,0,0.08333333333,0.04545454545
Montana,0.25,0,0,0,0.08333333333,0.1136363636
Federal,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0
