Location,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Value,State
ALABAMA,0.0,0.0,0,0.0,0.0,0.0,0.004883124155,Alabama
SOUTH CAROLINA,0.0,0.0,0,0.0,0.0,0.0,0.03425194594,South Carolina
NEBRASKA,0.15,0.0,0,0.0,0.0375,0.0375,0.0375,Nebraska
NEW HAMPSHIRE,0.15,0.0,0,0.0,0.0375,0.0375,0.0375,New Hampshire
NORTH DAKOTA,0.15,0.0,0,0.0,0.0375,0.0375,0.0375,North Dakota
OKLAHOMA,0.15,0.0,0,0.0,0.0375,0.0375,0.0375,Oklahoma
UTAH,0.15,0.0,0,0.0,0.0375,0.0375,0.0375,Utah
MICHIGAN,0.15,0.0,0,0.0,0.0375,0.0375,0.04857766978,Michigan
IOWA,0.0,0.0,0,0.0,0.0,0.0,0.04947536029,Iowa
WISCONSIN,0.15,0.0,0,0.0,0.0375,0.0375,0.05142308702,Wisconsin
INDIANA,0.15,0.0,0,0.0,0.0375,0.0375,0.07162630043,Indiana
KENTUCKY,0.15,0.0,0,0.0,0.0375,0.0375,0.07417801112,Kentucky
ARKANSAS,0.0,0.0,0,0.0,0.0,0.0,0.07653265727,Arkansas
PENNSYLVANIA,0.15,0.0,0,0.0,0.0375,0.0375,0.08987970013,Pennsylvania
TEXAS,0.0,0.0,0,0.0,0.0,0.0,0.1079590235,Texas
MISSOURI,0.15,0.0,0,0.0,0.0375,0.0375,0.1098755732,Missouri
GEORGIA,0.15,0.0,0,0.0,0.0375,0.0375,0.1332350502,Georgia
FLORIDA,0.0,0.0,0,0.0,0.0,0.0,0.167791458,Florida
KANSAS,0.15,0.0,0,0.0,0.0375,0.0375,0.1757294046,Kansas
ARIZONA,0.15,0.0,0,0.0,0.0375,0.0375,0.2631630379,Arizona
DELAWARE,0.15,0.0,1,0.0,0.2875,0.2875,0.2964361285,Delaware
VIRGINIA,0.15,0.0,1,0.0,0.2875,0.2875,0.3167275243,Virginia
MAINE,1.0,0.0,0,0.34,0.335,0.335,0.335,Maine
RHODE ISLAND,1.0,0.0,0,0.34,0.335,0.335,0.335,Rhode Island
VERMONT,1.0,0.0,0,0.34,0.335,0.335,0.335,Vermont
NEW JERSEY,1.0,0.0,0,0.34,0.335,0.335,0.337099161,New Jersey
OHIO,0.15,0.0,1,0.0,0.2875,0.2875,0.3417147704,Ohio
CONNECTICUT,1.0,0.0,0,0.34,0.335,0.335,0.3864581689,Connecticut
TENNESSEE,0.15,0.0,1,0.34,0.3725,0.3725,0.4018778991,Tennessee
LOUISIANA,0.15,0.0,1,0.33,0.37,0.37,0.4050442426,Louisiana
NEVADA,0.15,0.0,1,0.67,0.455,0.455,0.455,Nevada
NEW YORK,0.15,0.0,0,0.0,0.0375,0.0375,0.4644012307,New York
OREGON,1.0,0.0,0,0.34,0.335,0.335,0.465642098,Oregon
WASHINGTON,1.0,0.0,0,0.34,0.335,0.335,0.4732790865,Washington
MARYLAND,1.0,0.0,0,0.34,0.335,0.335,0.5110522823,Maryland
NORTH CAROLINA,0.15,0.0,1,0.66,0.4525,0.4525,0.5242364526,North Carolina
MASSACHUSETTS,1.0,0.0,0,1.0,0.5,0.5,0.5271047671,Massachusetts
COLORADO,1.0,0.0,1,0.34,0.585,0.585,0.6003965055,Colorado
ILLINOIS,1.0,0.0,1,0.34,0.585,0.585,0.603135235,Illinois
NEW MEXICO,1.0,0.0,1,0.67,0.6675,0.6675,0.6675,New Mexico
MINNESOTA,1.0,0.0,1,0.67,0.6675,0.6675,0.6836467358,Minnesota
HAWAII,1.0,0.5,1,0.34,0.71,0.71,0.71,Hawaii
CALIFORNIA,0.95,0.5,1,1.0,0.8625,0.8625,0.8646252548,California
ALASKA,0.0,0.0,0,0.0,0.0,0.0,0.0,Alaska
IDAHO,0.0,0.0,0,0.0,0.0,0.0,0.0,Idaho
MISSISSIPPI,0.0,0.0,0,0.0,0.0,0.0,0.0,Mississippi
MONTANA,0.0,0.0,0,0.0,0.0,0.0,0.0,Montana
SOUTH DAKOTA,0.0,0.0,0,0.0,0.0,0.0,0.0,South Dakota
WEST VIRGINIA,0.0,0.0,0,0.0,0.0,0.0,0.0,West Virginia
WYOMING,0.0,0.0,0,0.0,0.0,0.0,0.0,Wyoming
