Location,Private,Vendors,Public,"Background checks only 
for some 
positions","Background 
check only after conditional offer or finalists 
selected","EEOC 
criteria","Notice of 
denial (N); 
Copy of record (C); Appeal or complaint (A)",State
ALABAMA,,,,,,,,
 Birmingham,,,X,,,,A,ALABAMA
 ARIZONA,,,X,,,,,
 Glendale,,,X,,X,,, ARIZONA
 Maricopa County,,,X,,X,,, ARIZONA
 Phoenix,,,X,,X,X,"N, C, A", ARIZONA
 Pima County,,,X,,,,, ARIZONA
 Tempe,,,X,,X,,, ARIZONA
 Tucson,,,X,X,X,X,A, ARIZONA
ARKANSAS,,,,,,,,
 Pulaski County,,,X,,X,X,"N, A",ARKANSAS
CALIFORNIA  ,X,,X,,X,X,"N, C, A",
 Alameda County,,,X,,,,,CALIFORNIA  
 Berkeley,,,X,X,,X,,CALIFORNIA  
 Carson,,,X,,,,,CALIFORNIA  
 Compton,,X,X,,,X,,CALIFORNIA  
 East Palo Alto,,,X,,,,,CALIFORNIA  
 Los Angeles,X,X,X,,X,X,"N, C, A",CALIFORNIA  
 Oakland,,,X,X,X,X,"N, C, A",CALIFORNIA  
 Pasadena,,,X,,,,,CALIFORNIA  
 Richmond,,X,X,X,,,,CALIFORNIA  
 Sacramento,,X,,,,,,CALIFORNIA  
 San Francisco,X1,X1,X,,X,X,"N, C, A",CALIFORNIA  
 Santa Clara County,,,X,,,,,CALIFORNIA  
COLORADO  ,X,X,X,,,X,A,
 Denver,,,X,,X,X,,COLORADO  
 CONNECTICUT ,X,X,X,,,,A,
 Bridgeport,,,X,,,X,"N, A", CONNECTICUT 
 Hartford,,X,X,X,X,X,"N, A", CONNECTICUT 
 New Haven,,X,X,,X,X,"N, C, A", CONNECTICUT 
 Norwich,,,X,,X,,, CONNECTICUT 
 DELAWARE  ,,,X,,,X,,
 New Castle County,,,X,,,,, DELAWARE  
 Wilmington,,,X,,X,,, DELAWARE  
 District of Columbia,X,X,X,,X,X,A, DELAWARE  
FLORIDA,,,,,,,,
 Broward County,,,X,,X,X,"N, C, A",FLORIDA
 Clearwater,,,X,,,X,,FLORIDA
 Daytona Beach,,,X,,X,,,FLORIDA
 Gainesville,,,X,,,X,,FLORIDA
 Fort Myers,,,X,,,,,FLORIDA
 Jacksonville,,,X,,X,X,"N, A",FLORIDA
 Miami-Dade County,,,X,,X,X,N,FLORIDA
