State,Value_1,Value_2,Value_3,Value_4,Value_5
Alabama,0.004883124155,0.5,0.5,0.0,0.0
Alaska,0.0,0.0,0.3333333333,0.0,0.0
Arizona,0.3065788204,0.75,0.6,1.0,0.75
Arkansas,0.07653265727,0.5,0.5,0.0,0.4285714286
California,0.8663794516,0.75,0.875,1.0,0.6785714286
Colorado,0.6003965055,0.5,0.8333333333,1.0,0.6785714286
Connecticut,0.399417918,1.0,0.8125,1.0,0.5
Delaware,0.2964361285,0.0,0.5833333333,0.0,0.7142857143
Florida,0.1683297191,0.5,0.08333333333,1.0,0.2142857143
Georgia,0.1306397414,0.5,0.5,1.0,0.2857142857
Hawaii,0.71,0.5,0.25,0.0,0.3571428571
Idaho,0.0,0.0,0.5,0.0,0.25
Illinois,0.603135235,0.5,0.55,1.0,0.6071428571
Indiana,0.07162630043,0.0,0.6666666667,1.0,0.6071428571
Iowa,0.04947536029,0.5,0.3333333333,1.0,0.6428571429
Kansas,0.1879437107,0.0,0.4166666667,1.0,0.3571428571
Kentucky,0.07417801112,0.0,0.75,0.0,0.4642857143
Louisiana,0.4050442426,0.5,0.6666666667,1.0,0.6071428571
Maine,0.335,0.0,0.1666666667,0.0,0.25
Maryland,0.4333798938,0.5,0.6625,0.0,0.2857142857
Massachusetts,0.5271047671,0.0,0.5,1.0,0.2142857143
Michigan,0.04857766978,0.75,0.8333333333,1.0,0.5
Minnesota,0.6768690762,0.0,0.75,1.0,0.6428571429
Mississippi,0.0,0.0,0.5,0.0,0.3928571429
Missouri,0.09958560203,0.0,0.3,0.0,0.5357142857
Montana,0.0,0.0,0.08333333333,0.0,0.1071428571
Nebraska,0.0375,0.0,0.5833333333,0.0,0.1785714286
Nevada,0.455,0.0,0.5,0.0,0.1071428571
New Hampshire,0.0375,0.0,0.6666666667,0.0,0.4285714286
New Jersey,0.35900231,0.75,0.9375,0.0,0.4285714286
New Mexico,0.6675,0.5,0.6125,1.0,0.3928571429
New York,0.4745672809,0.75,1.0,1.0,0.25
North Carolina,0.5243489799,0.75,0.75,1.0,0.7857142857
North Dakota,0.0375,0.0,0.4166666667,0.0,0.25
Ohio,0.3417147704,0.75,0.8333333333,1.0,0.8571428571
Oklahoma,0.0375,0.0,0.5833333333,0.0,0.7857142857
Oregon,0.465642098,0.0,0.4166666667,0.0,0.1071428571
Pennsylvania,0.1993070678,0.0,0.5833333333,0.0,0.7142857143
Rhode Island,0.335,0.5,0.6666666667,0.0,0.6428571429
South Carolina,0.03425194594,0.0,0.4166666667,0.0,0.07142857143
South Dakota,0.0,0.0,0.2375,0.0,0.03571428571
Tennessee,0.4018778991,0.5,0.6666666667,1.0,0.5
Texas,0.1079590235,0.5,0.4166666667,1.0,0.6071428571
Utah,0.0375,0.0,0.5833333333,1.0,0.5714285714
Vermont,0.335,0.5,0.6125,1.0,0.3571428571
Virginia,0.3167275243,0.0,0.6375,0.0,0.1785714286
Washington,0.4803576003,0.5,0.5833333333,1.0,0.6785714286
West Virginia,0.0,0.0,0.3333333333,0.0,0.4642857143
Wisconsin,0.05142308702,0.0,0.0,0.0,0.5357142857
Wyoming,0.0,0.0,0.5,0.0,0.1785714286
