"Rank","State","Total_Average_Index","Ban_the_Box_Rank","Licensing_Rank","Record_Clearing_Rank","Certificate_Rank","Liability_Rank"
1,"California",0.86,1,7,2,2,1
2,"North Carolina",0.79,9,2,7,2,1
3,"Minnesota",0.79,3,10,14,2,1
4,"Colorado",0.78,6,7,3,9,1
5,"Connecticut",0.77,16,20,6,1,1
6,"New Mexico",0.73,4,28,16,2,1
7,"Arizona",0.68,24,4,18,2,1
8,"New York",0.65,11,35,1,9,1
9,"Ohio",0.62,17,1,9,26,1
10,"Illinois",0.6,5,13,21,26,1
11,"Washington",0.58,10,7,15,26,1
12,"Louisiana",0.57,14,13,10,26,1
13,"Indiana",0.57,32,13,19,9,1
14,"Tennessee",0.55,15,20,10,26,1
15,"Massachusetts",0.55,8,39,30,9,1
16,"Utah",0.54,37,17,25,9,1
17,"Texas",0.52,30,13,37,9,1
18,"Georgia",0.51,27,33,23,9,1
19,"Michigan",0.51,35,20,3,26,1
20,"Vermont",0.49,21,30,16,26,1
21,"Kentucky",0.49,31,23,7,26,1
22,"Iowa",0.43,34,10,36,26,1
23,"Oklahoma",0.43,37,2,25,2,24
24,"Florida",0.39,26,39,48,9,1
25,"Hawaii",0.38,2,30,45,9,24
26,"Rhode Island",0.37,21,10,10,26,24
27,"New Jersey",0.35,19,25,5,26,24
28,"Virginia",0.34,18,41,22,9,24
29,"Delaware",0.34,20,5,25,26,24
30,"Maryland",0.32,7,33,13,26,24
31,"Arkansas",0.3,33,25,30,9,24
32,"North Dakota",0.29,37,35,37,2,24
33,"Kansas",0.29,25,30,37,9,24
34,"Pennsylvania",0.28,29,5,25,26,24
35,"Maine",0.26,21,35,47,9,24
36,"West Virginia",0.26,44,23,42,9,24
37,"Idaho",0.25,44,35,30,9,24
38,"New Hampshire",0.23,37,25,19,26,24
39,"Alabama",0.23,43,49,23,9,24
40,"Nevada",0.22,12,44,30,26,24
41,"South Carolina",0.2,42,47,37,9,24
42,"Oregon",0.2,13,44,37,26,24
43,"Missouri",0.19,28,18,44,26,24
44,"Mississippi",0.18,44,28,30,26,24
45,"Nebraska",0.16,37,41,25,26,24
46,"Wyoming",0.14,44,41,30,26,24
47,"Wisconsin",0.12,36,18,50,26,24
48,"Alaska",0.07,44,49,42,26,24
49,"South Dakota",0.05,44,48,46,26,24
50,"Montana",0.04,44,44,48,26,24
